,version : 3.11.3
24,"""2021-12-29 12:22:04.905 write data log :{length = 2,bytes = 0207}"""
25,"""2021-12-29 12:22:04.911 receive data log :{length = 20,bytes = 0202fb0aff48076fe1053f0a88000200510f077e}"""
26,"""2021-12-29 12:22:05.218 write data log :{length = 16,bytes = 0301e4070c1d0c160401000000000000}"""
27,"""2021-12-29 12:22:05.514 receive data log :{length = 12,bytes = 0207002048c62800003f0700}"""
28,"""2021-12-29 12:22:05.535 write data log :{length = 2,bytes = 02a0}"""
29,"""2021-12-29 12:22:05.536 receive data log :{length = 2,bytes = 0301}"""
30,"""2021-12-29 12:22:05.800 write data log :{length = 2,bytes = 0907}"""
31,"""2021-12-29 12:22:05.854 receive data log :{length = 19,bytes = 02a00b160000de000000360f0000440b000000}"""
32,"""2021-12-29 12:22:06.161 receive data log :{length = 3,bytes = 090701}"""
33,2021-12-29 12:22:06.166 sync health log :start sync health
34,"""2021-12-29 12:22:06.176 write data log :{length = 4,bytes = 08010100}"""
35,"""2021-12-29 12:22:06.477 receive data log :{length = 10,bytes = 08010000010001000000}"""
36,"""2021-12-29 12:22:06.485 write data log :{length = 5,bytes = 0803010000}"""
37,"""2021-12-29 12:22:06.791 receive data log :{length = 20,bytes = 0803010ce4070c1d00000f3215000000ccad0020}"""
38,"""2021-12-29 12:22:06.797 receive data log :{length = 20,bytes = 080302120b160000de000000360f0000440b0000}"""
39,"""2021-12-29 12:22:06.801 receive data log :{length = 20,bytes = 0803031000000000000000000000000000000000}"""
40,"""2021-12-29 12:22:06.804 receive data log :{length = 20,bytes = 0803041000000000000000000000000000000000}"""
41,"""2021-12-29 12:22:06.807 receive data log :{length = 20,bytes = 0803051000000000000000000000000000000000}"""
42,"""2021-12-29 12:22:06.810 receive data log :{length = 20,bytes = 0803061000000000000000000000000000000000}"""
43,"""2021-12-29 12:22:06.813 receive data log :{length = 20,bytes = 0803071000000000000000000000000000000000}"""
44,"""2021-12-29 12:22:06.815 receive data log :{length = 20,bytes = 0803081000000000000000000000000000000000}"""
45,"""2021-12-29 12:22:07.107 receive data log :{length = 20,bytes = 0803091000000000000000000000000000000000}"""
46,"""2021-12-29 12:22:07.113 receive data log :{length = 20,bytes = 08030a1000000000000000000000000000000000}"""
47,"""2021-12-29 12:22:07.423 receive data log :{length = 20,bytes = 08030b1000000000000000000000000000000000}"""
48,"""2021-12-29 12:22:07.431 receive data log :{length = 20,bytes = 08030c1000000000000000000000000000000000}"""
49,"""2021-12-29 12:22:07.439 receive data log :{length = 20,bytes = 08030d1000000000000000000000000000000000}"""
50,"""2021-12-29 12:22:07.443 receive data log :{length = 20,bytes = 08030e1000000000000000000000000000000000}"""
51,"""2021-12-29 12:22:07.447 receive data log :{length = 20,bytes = 08030f1000000000000000000000000000000000}"""
52,"""2021-12-29 12:22:07.451 receive data log :{length = 20,bytes = 08031010000000000000006c074880140014c630}"""
53,"""2021-12-29 12:22:07.453 receive data log :{length = 20,bytes = 08031110377095dc303ba092c660336c4e90d027}"""
54,"""2021-12-29 12:22:07.455 receive data log :{length = 14,bytes = 0803120a70c42d400cd401121005}"""
55,"""2021-12-29 12:22:07.456 write data log :{length = 3,bytes = 080302}"""
56,"""2021-12-29 12:22:07.458 receive data log :{length = 3,bytes = 08ee00}"""
57,2021-12-29 12:22:07.750 sync health sport log :{
58,head =     {
59,day = 29;
60,"""        """"items_count"""" = 50;"""
61,"""        """"key_word"""" = 0;"""
62,length = 12;
63,"""        """"minute_offset"""" = 0;"""
64,month = 12;
65,"""        """"packets_count"""" = 21;"""
66,"""        """"per_minute"""" = 15;"""
67,reserved = 0;
68,serial = 1;
69,"""        """"total_active_time"""" = 2884;"""
70,"""        """"total_cal"""" = 222;"""
71,"""        """"total_distances"""" = 3894;"""
72,"""        """"total_step"""" = 5643;"""
73,year = 2020;
74,};
75,items =     (
76,{
77,"""            """"active_time"""" = 0;"""
78,calories = 0;
79,distance = 0;
80,mode = 0;
81,"""            """"sport_count"""" = 0;"""
82,"""        },"""
83,{
84,"""            """"active_time"""" = 0;"""
85,calories = 0;
86,distance = 0;
87,mode = 0;
88,"""            """"sport_count"""" = 0;"""
89,"""        },"""
90,{
91,"""            """"active_time"""" = 0;"""
92,calories = 0;
93,distance = 0;
94,mode = 0;
95,"""            """"sport_count"""" = 0;"""
96,"""        },"""
97,{
98,"""            """"active_time"""" = 0;"""
99,calories = 0;
100,distance = 0;
101,mode = 0;
102,"""            """"sport_count"""" = 0;"""
103,"""        },"""
104,{
105,"""            """"active_time"""" = 0;"""
106,calories = 0;
107,distance = 0;
108,mode = 0;
109,"""            """"sport_count"""" = 0;"""
110,"""        },"""
111,{
112,"""            """"active_time"""" = 0;"""
113,calories = 0;
114,distance = 0;
115,mode = 0;
116,"""            """"sport_count"""" = 0;"""
117,"""        },"""
118,{
119,"""            """"active_time"""" = 0;"""
120,calories = 0;
121,distance = 0;
122,mode = 0;
123,"""            """"sport_count"""" = 0;"""
124,"""        },"""
125,{
126,"""            """"active_time"""" = 0;"""
127,calories = 0;
128,distance = 0;
129,mode = 0;
130,"""            """"sport_count"""" = 0;"""
131,"""        },"""
132,{
133,"""            """"active_time"""" = 0;"""
134,calories = 0;
135,distance = 0;
136,mode = 0;
137,"""            """"sport_count"""" = 0;"""
138,"""        },"""
139,{
140,"""            """"active_time"""" = 0;"""
141,calories = 0;
142,distance = 0;
143,mode = 0;
144,"""            """"sport_count"""" = 0;"""
145,"""        },"""
146,{
147,"""            """"active_time"""" = 0;"""
148,calories = 0;
149,distance = 0;
150,mode = 0;
151,"""            """"sport_count"""" = 0;"""
152,"""        },"""
153,{
154,"""            """"active_time"""" = 0;"""
155,calories = 0;
156,distance = 0;
157,mode = 0;
158,"""            """"sport_count"""" = 0;"""
159,"""        },"""
160,{
161,"""            """"active_time"""" = 0;"""
162,calories = 0;
163,distance = 0;
164,mode = 0;
165,"""            """"sport_count"""" = 0;"""
166,"""        },"""
167,{
168,"""            """"active_time"""" = 0;"""
169,calories = 0;
170,distance = 0;
171,mode = 0;
172,"""            """"sport_count"""" = 0;"""
173,"""        },"""
174,{
175,"""            """"active_time"""" = 0;"""
176,calories = 0;
177,distance = 0;
178,mode = 0;
179,"""            """"sport_count"""" = 0;"""
180,"""        },"""
181,{
182,"""            """"active_time"""" = 0;"""
183,calories = 0;
184,distance = 0;
185,mode = 0;
186,"""            """"sport_count"""" = 0;"""
187,"""        },"""
188,{
189,"""            """"active_time"""" = 0;"""
190,calories = 0;
191,distance = 0;
192,mode = 0;
193,"""            """"sport_count"""" = 0;"""
194,"""        },"""
195,{
196,"""            """"active_time"""" = 0;"""
197,calories = 0;
198,distance = 0;
199,mode = 0;
200,"""            """"sport_count"""" = 0;"""
201,"""        },"""
202,{
203,"""            """"active_time"""" = 0;"""
204,calories = 0;
205,distance = 0;
206,mode = 0;
207,"""            """"sport_count"""" = 0;"""
208,"""        },"""
209,{
210,"""            """"active_time"""" = 0;"""
211,calories = 0;
212,distance = 0;
213,mode = 0;
214,"""            """"sport_count"""" = 0;"""
215,"""        },"""
216,{
217,"""            """"active_time"""" = 0;"""
218,calories = 0;
219,distance = 0;
220,mode = 0;
221,"""            """"sport_count"""" = 0;"""
222,"""        },"""
223,{
224,"""            """"active_time"""" = 0;"""
225,calories = 0;
226,distance = 0;
227,mode = 0;
228,"""            """"sport_count"""" = 0;"""
229,"""        },"""
230,{
231,"""            """"active_time"""" = 0;"""
232,calories = 0;
233,distance = 0;
234,mode = 0;
235,"""            """"sport_count"""" = 0;"""
236,"""        },"""
237,{
238,"""            """"active_time"""" = 0;"""
239,calories = 0;
240,distance = 0;
241,mode = 0;
242,"""            """"sport_count"""" = 0;"""
243,"""        },"""
244,{
245,"""            """"active_time"""" = 0;"""
246,calories = 0;
247,distance = 0;
248,mode = 0;
249,"""            """"sport_count"""" = 0;"""
250,"""        },"""
251,{
252,"""            """"active_time"""" = 0;"""
253,calories = 0;
254,distance = 0;
255,mode = 0;
256,"""            """"sport_count"""" = 0;"""
257,"""        },"""
258,{
259,"""            """"active_time"""" = 0;"""
260,calories = 0;
261,distance = 0;
262,mode = 0;
263,"""            """"sport_count"""" = 0;"""
264,"""        },"""
265,{
266,"""            """"active_time"""" = 0;"""
267,calories = 0;
268,distance = 0;
269,mode = 0;
270,"""            """"sport_count"""" = 0;"""
271,"""        },"""
272,{
273,"""            """"active_time"""" = 0;"""
274,calories = 0;
275,distance = 0;
276,mode = 0;
277,"""            """"sport_count"""" = 0;"""
278,"""        },"""
279,{
280,"""            """"active_time"""" = 0;"""
281,calories = 0;
282,distance = 0;
283,mode = 0;
284,"""            """"sport_count"""" = 0;"""
285,"""        },"""
286,{
287,"""            """"active_time"""" = 0;"""
288,calories = 0;
289,distance = 0;
290,mode = 0;
291,"""            """"sport_count"""" = 0;"""
292,"""        },"""
293,{
294,"""            """"active_time"""" = 0;"""
295,calories = 0;
296,distance = 0;
297,mode = 0;
298,"""            """"sport_count"""" = 0;"""
299,"""        },"""
300,{
301,"""            """"active_time"""" = 0;"""
302,calories = 0;
303,distance = 0;
304,mode = 0;
305,"""            """"sport_count"""" = 0;"""
306,"""        },"""
307,{
308,"""            """"active_time"""" = 0;"""
309,calories = 0;
310,distance = 0;
311,mode = 0;
312,"""            """"sport_count"""" = 0;"""
313,"""        },"""
314,{
315,"""            """"active_time"""" = 0;"""
316,calories = 0;
317,distance = 0;
318,mode = 0;
319,"""            """"sport_count"""" = 0;"""
320,"""        },"""
321,{
322,"""            """"active_time"""" = 0;"""
323,calories = 0;
324,distance = 0;
325,mode = 0;
326,"""            """"sport_count"""" = 0;"""
327,"""        },"""
328,{
329,"""            """"active_time"""" = 0;"""
330,calories = 0;
331,distance = 0;
332,mode = 0;
333,"""            """"sport_count"""" = 0;"""
334,"""        },"""
335,{
336,"""            """"active_time"""" = 0;"""
337,calories = 0;
338,distance = 0;
339,mode = 0;
340,"""            """"sport_count"""" = 0;"""
341,"""        },"""
342,{
343,"""            """"active_time"""" = 0;"""
344,calories = 0;
345,distance = 0;
346,mode = 0;
347,"""            """"sport_count"""" = 0;"""
348,"""        },"""
349,{
350,"""            """"active_time"""" = 0;"""
351,calories = 0;
352,distance = 0;
353,mode = 0;
354,"""            """"sport_count"""" = 0;"""
355,"""        },"""
356,{
357,"""            """"active_time"""" = 0;"""
358,calories = 0;
359,distance = 0;
360,mode = 0;
361,"""            """"sport_count"""" = 0;"""
362,"""        },"""
363,{
364,"""            """"active_time"""" = 0;"""
365,calories = 0;
366,distance = 0;
367,mode = 0;
368,"""            """"sport_count"""" = 0;"""
369,"""        },"""
370,{
371,"""            """"active_time"""" = 0;"""
372,calories = 0;
373,distance = 0;
374,mode = 0;
375,"""            """"sport_count"""" = 0;"""
376,"""        },"""
377,{
378,"""            """"active_time"""" = 0;"""
379,calories = 18;
380,distance = 328;
381,mode = 0;
382,"""            """"sport_count"""" = 475;"""
383,"""        },"""
384,{
385,"""            """"active_time"""" = 8;"""
386,calories = 49;
387,distance = 883;
388,mode = 0;
389,"""            """"sport_count"""" = 1280;"""
390,"""        },"""
391,{
392,"""            """"active_time"""" = 2;"""
393,calories = 55;
394,distance = 947;
395,mode = 0;
396,"""            """"sport_count"""" = 1372;"""
397,"""        },"""
398,{
399,"""            """"active_time"""" = 10;"""
400,calories = 49;
401,distance = 822;
402,mode = 0;
403,"""            """"sport_count"""" = 1192;"""
404,"""        },"""
405,{
406,"""            """"active_time"""" = 1;"""
407,calories = 36;
408,distance = 637;
409,mode = 0;
410,"""            """"sport_count"""" = 923;"""
411,"""        },"""
412,{
413,"""            """"active_time"""" = 7;"""
414,calories = 11;
415,distance = 196;
416,mode = 0;
417,"""            """"sport_count"""" = 284;"""
418,"""        },"""
419,{
420,"""            """"active_time"""" = 8;"""
421,calories = 4;
422,distance = 81;
423,mode = 0;
424,"""            """"sport_count"""" = 117;"""
425,}
426,);
427,"""    type = """"sport_step"""";"""
428,}
429,"""2021-12-29 12:22:07.754 receive data log :{length = 5,bytes = 0803020000}"""
430,"""2021-12-29 12:22:07.761 write data log :{length = 5,bytes = 0804010000}"""
431,"""2021-12-29 12:22:08.053 receive data log :{length = 20,bytes = 0804010c000000000000000000000000ccad0020}"""
432,"""2021-12-29 12:22:08.061 receive data log :{length = 20,bytes = 080402090000000000000000ccad0020bcad0020}"""
433,"""2021-12-29 12:22:08.066 write data log :{length = 3,bytes = 080402}"""
434,"""2021-12-29 12:22:08.070 receive data log :{length = 3,bytes = 08ee03}"""
435,2021-12-29 12:22:08.369 sync health sleep log :{
436,head =     {
437,day = 0;
438,"""        """"deep_sleep_count"""" = 0;"""
439,"""        """"deep_sleep_minute"""" = 0;"""
440,"""        """"end_time_hour"""" = 0;"""
441,"""        """"end_time_minute"""" = 0;"""
442,"""        """"items_count"""" = 0;"""
443,length = 12;
444,"""        """"light_sleep_count"""" = 0;"""
445,"""        """"ligth_sleep_minute"""" = 0;"""
446,month = 0;
447,"""        """"packet_count"""" = 0;"""
448,serial = 1;
449,"""        """"sleep_item_count"""" = 0;"""
450,"""        """"sleep_score"""" = 0;"""
451,"""        """"total_minute"""" = 0;"""
452,"""        """"wake_count"""" = 0;"""
453,year = 0;
454,};
455,items =     (
456,);
457,type = sleep;
458,}
459,"""2021-12-29 12:22:08.374 receive data log :{length = 5,bytes = 0804020000}"""
460,"""2021-12-29 12:22:08.380 write data log :{length = 5,bytes = 0807010000}"""
461,"""2021-12-29 12:22:08.687 receive data log :{length = 20,bytes = 0807010ce4070c1d03003e7d00150000ccad0020}"""
462,"""2021-12-29 12:22:08.694 receive data log :{length = 20,bytes = 080702117b90b9040000000000671000a4000000}"""
463,"""2021-12-29 12:22:08.698 receive data log :{length = 20,bytes = 0807031000820582057a06770577057a066c0574}"""
464,"""2021-12-29 12:22:08.701 receive data log :{length = 20,bytes = 08070410056a068f057c065e056d057b0661057b}"""
465,"""2021-12-29 12:22:08.703 receive data log :{length = 20,bytes = 08070510057806730599056b067b058406780569}"""
466,"""2021-12-29 12:22:08.705 receive data log :{length = 20,bytes = 0807061005840673056f0570067d0575058f065e}"""
467,"""2021-12-29 12:22:08.707 receive data log :{length = 20,bytes = 0807071005790586066c055f057c06850585056a}"""
468,"""2021-12-29 12:22:08.709 receive data log :{length = 20,bytes = 08070810066e05810578066505710573067f0584}"""
469,"""2021-12-29 12:22:08.838 receive data log :{length = 20,bytes = 080709100573066e056b05780686058a056e0681}"""
470,"""2021-12-29 12:22:08.841 receive data log :{length = 20,bytes = 08070a10058906730586057606860573057c0681}"""
471,"""2021-12-29 12:22:09.156 receive data log :{length = 20,bytes = 08070b10056f057f069205950686058405560671}"""
472,"""2021-12-29 12:22:09.165 receive data log :{length = 20,bytes = 08070c10056f0572067505780573065a0599056c}"""
473,"""2021-12-29 12:22:09.170 receive data log :{length = 20,bytes = 08070d100671056b067f056e057e0676055b0661}"""
474,"""2021-12-29 12:22:09.174 receive data log :{length = 20,bytes = 08070e10057a0581068805940574068005710594}"""
475,"""2021-12-29 12:22:09.177 receive data log :{length = 20,bytes = 08070f100675058106820575057a067a056f0579}"""
476,"""2021-12-29 12:22:09.179 receive data log :{length = 20,bytes = 080710100676057f0664057a056e066a058b0583}"""
477,"""2021-12-29 12:22:09.181 receive data log :{length = 20,bytes = 08071110066b056c057e0694057f066b0578058f}"""
478,"""2021-12-29 12:22:09.183 receive data log :{length = 14,bytes = 0807120a06780e4e3e73056b097f}"""
479,"""2021-12-29 12:22:09.185 write data log :{length = 3,bytes = 080702}"""
480,"""2021-12-29 12:22:09.186 receive data log :{length = 3,bytes = 08ee04}"""
481,2021-12-29 12:22:09.471 sync health heart rate log :{
482,head =     {
483,"""        """"aerobic_mins"""" = 0;"""
484,"""        """"aerobic_threshold"""" = 144;"""
485,"""        """"anaerobic_mins"""" = 0;"""
486,"""        """"anaerobic_threshold"""" = 164;"""
487,"""        """"burn_fat_mins"""" = 4;"""
488,"""        """"burn_fat_threshold"""" = 123;"""
489,day = 29;
490,"""        """"items_count"""" = 125;"""
491,length = 12;
492,"""        """"limit_mins"""" = 0;"""
493,"""        """"limit_threshold"""" = 185;"""
494,"""        """"minute_offset"""" = 3;"""
495,month = 12;
496,"""        """"packets_count"""" = 21;"""
497,serial = 1;
498,"""        """"silent_heart_rate"""" = 62;"""
499,"""        """"user_max_hr"""" = 0;"""
500,"""        """"warm_up_mins"""" = 16;"""
501,"""        """"warm_up_threshold"""" = 103;"""
502,year = 2020;
503,};
504,items =     (
505,{
506,"""            """"hr_value"""" = 130;"""
507,offset = 0;
508,"""        },"""
509,{
510,"""            """"hr_value"""" = 130;"""
511,offset = 5;
512,"""        },"""
513,{
514,"""            """"hr_value"""" = 122;"""
515,offset = 5;
516,"""        },"""
517,{
518,"""            """"hr_value"""" = 119;"""
519,offset = 6;
520,"""        },"""
521,{
522,"""            """"hr_value"""" = 119;"""
523,offset = 5;
524,"""        },"""
525,{
526,"""            """"hr_value"""" = 122;"""
527,offset = 5;
528,"""        },"""
529,{
530,"""            """"hr_value"""" = 108;"""
531,offset = 6;
532,"""        },"""
533,{
534,"""            """"hr_value"""" = 116;"""
535,offset = 5;
536,"""        },"""
537,{
538,"""            """"hr_value"""" = 106;"""
539,offset = 5;
540,"""        },"""
541,{
542,"""            """"hr_value"""" = 143;"""
543,offset = 6;
544,"""        },"""
545,{
546,"""            """"hr_value"""" = 124;"""
547,offset = 5;
548,"""        },"""
549,{
550,"""            """"hr_value"""" = 94;"""
551,offset = 6;
552,"""        },"""
553,{
554,"""            """"hr_value"""" = 109;"""
555,offset = 5;
556,"""        },"""
557,{
558,"""            """"hr_value"""" = 123;"""
559,offset = 5;
560,"""        },"""
561,{
562,"""            """"hr_value"""" = 97;"""
563,offset = 6;
564,"""        },"""
565,{
566,"""            """"hr_value"""" = 123;"""
567,offset = 5;
568,"""        },"""
569,{
570,"""            """"hr_value"""" = 120;"""
571,offset = 5;
572,"""        },"""
573,{
574,"""            """"hr_value"""" = 115;"""
575,offset = 6;
576,"""        },"""
577,{
578,"""            """"hr_value"""" = 153;"""
579,offset = 5;
580,"""        },"""
581,{
582,"""            """"hr_value"""" = 107;"""
583,offset = 5;
584,"""        },"""
585,{
586,"""            """"hr_value"""" = 123;"""
587,offset = 6;
588,"""        },"""
589,{
590,"""            """"hr_value"""" = 132;"""
591,offset = 5;
592,"""        },"""
593,{
594,"""            """"hr_value"""" = 120;"""
595,offset = 6;
596,"""        },"""
597,{
598,"""            """"hr_value"""" = 105;"""
599,offset = 5;
600,"""        },"""
601,{
602,"""            """"hr_value"""" = 132;"""
603,offset = 5;
604,"""        },"""
605,{
606,"""            """"hr_value"""" = 115;"""
607,offset = 6;
608,"""        },"""
609,{
610,"""            """"hr_value"""" = 111;"""
611,offset = 5;
612,"""        },"""
613,{
614,"""            """"hr_value"""" = 112;"""
615,offset = 5;
616,"""        },"""
617,{
618,"""            """"hr_value"""" = 125;"""
619,offset = 6;
620,"""        },"""
621,{
622,"""            """"hr_value"""" = 117;"""
623,offset = 5;
624,"""        },"""
625,{
626,"""            """"hr_value"""" = 143;"""
627,offset = 5;
628,"""        },"""
629,{
630,"""            """"hr_value"""" = 94;"""
631,offset = 6;
632,"""        },"""
633,{
634,"""            """"hr_value"""" = 121;"""
635,offset = 5;
636,"""        },"""
637,{
638,"""            """"hr_value"""" = 134;"""
639,offset = 5;
640,"""        },"""
641,{
642,"""            """"hr_value"""" = 108;"""
643,offset = 6;
644,"""        },"""
645,{
646,"""            """"hr_value"""" = 95;"""
647,offset = 5;
648,"""        },"""
649,{
650,"""            """"hr_value"""" = 124;"""
651,offset = 5;
652,"""        },"""
653,{
654,"""            """"hr_value"""" = 133;"""
655,offset = 6;
656,"""        },"""
657,{
658,"""            """"hr_value"""" = 133;"""
659,offset = 5;
660,"""        },"""
661,{
662,"""            """"hr_value"""" = 106;"""
663,offset = 5;
664,"""        },"""
665,{
666,"""            """"hr_value"""" = 110;"""
667,offset = 6;
668,"""        },"""
669,{
670,"""            """"hr_value"""" = 129;"""
671,offset = 5;
672,"""        },"""
673,{
674,"""            """"hr_value"""" = 120;"""
675,offset = 5;
676,"""        },"""
677,{
678,"""            """"hr_value"""" = 101;"""
679,offset = 6;
680,"""        },"""
681,{
682,"""            """"hr_value"""" = 113;"""
683,offset = 5;
684,"""        },"""
685,{
686,"""            """"hr_value"""" = 115;"""
687,offset = 5;
688,"""        },"""
689,{
690,"""            """"hr_value"""" = 127;"""
691,offset = 6;
692,"""        },"""
693,{
694,"""            """"hr_value"""" = 132;"""
695,offset = 5;
696,"""        },"""
697,{
698,"""            """"hr_value"""" = 115;"""
699,offset = 5;
700,"""        },"""
701,{
702,"""            """"hr_value"""" = 110;"""
703,offset = 6;
704,"""        },"""
705,{
706,"""            """"hr_value"""" = 107;"""
707,offset = 5;
708,"""        },"""
709,{
710,"""            """"hr_value"""" = 120;"""
711,offset = 5;
712,"""        },"""
713,{
714,"""            """"hr_value"""" = 134;"""
715,offset = 6;
716,"""        },"""
717,{
718,"""            """"hr_value"""" = 138;"""
719,offset = 5;
720,"""        },"""
721,{
722,"""            """"hr_value"""" = 110;"""
723,offset = 5;
724,"""        },"""
725,{
726,"""            """"hr_value"""" = 129;"""
727,offset = 6;
728,"""        },"""
729,{
730,"""            """"hr_value"""" = 137;"""
731,offset = 5;
732,"""        },"""
733,{
734,"""            """"hr_value"""" = 115;"""
735,offset = 6;
736,"""        },"""
737,{
738,"""            """"hr_value"""" = 134;"""
739,offset = 5;
740,"""        },"""
741,{
742,"""            """"hr_value"""" = 118;"""
743,offset = 5;
744,"""        },"""
745,{
746,"""            """"hr_value"""" = 134;"""
747,offset = 6;
748,"""        },"""
749,{
750,"""            """"hr_value"""" = 115;"""
751,offset = 5;
752,"""        },"""
753,{
754,"""            """"hr_value"""" = 124;"""
755,offset = 5;
756,"""        },"""
757,{
758,"""            """"hr_value"""" = 129;"""
759,offset = 6;
760,"""        },"""
761,{
762,"""            """"hr_value"""" = 111;"""
763,offset = 5;
764,"""        },"""
765,{
766,"""            """"hr_value"""" = 127;"""
767,offset = 5;
768,"""        },"""
769,{
770,"""            """"hr_value"""" = 146;"""
771,offset = 6;
772,"""        },"""
773,{
774,"""            """"hr_value"""" = 149;"""
775,offset = 5;
776,"""        },"""
777,{
778,"""            """"hr_value"""" = 134;"""
779,offset = 6;
780,"""        },"""
781,{
782,"""            """"hr_value"""" = 132;"""
783,offset = 5;
784,"""        },"""
785,{
786,"""            """"hr_value"""" = 86;"""
787,offset = 5;
788,"""        },"""
789,{
790,"""            """"hr_value"""" = 113;"""
791,offset = 6;
792,"""        },"""
793,{
794,"""            """"hr_value"""" = 111;"""
795,offset = 5;
796,"""        },"""
797,{
798,"""            """"hr_value"""" = 114;"""
799,offset = 5;
800,"""        },"""
801,{
802,"""            """"hr_value"""" = 117;"""
803,offset = 6;
804,"""        },"""
805,{
806,"""            """"hr_value"""" = 120;"""
807,offset = 5;
808,"""        },"""
809,{
810,"""            """"hr_value"""" = 115;"""
811,offset = 5;
812,"""        },"""
813,{
814,"""            """"hr_value"""" = 90;"""
815,offset = 6;
816,"""        },"""
817,{
818,"""            """"hr_value"""" = 153;"""
819,offset = 5;
820,"""        },"""
821,{
822,"""            """"hr_value"""" = 108;"""
823,offset = 5;
824,"""        },"""
825,{
826,"""            """"hr_value"""" = 113;"""
827,offset = 6;
828,"""        },"""
829,{
830,"""            """"hr_value"""" = 107;"""
831,offset = 5;
832,"""        },"""
833,{
834,"""            """"hr_value"""" = 127;"""
835,offset = 6;
836,"""        },"""
837,{
838,"""            """"hr_value"""" = 110;"""
839,offset = 5;
840,"""        },"""
841,{
842,"""            """"hr_value"""" = 126;"""
843,offset = 5;
844,"""        },"""
845,{
846,"""            """"hr_value"""" = 118;"""
847,offset = 6;
848,"""        },"""
849,{
850,"""            """"hr_value"""" = 91;"""
851,offset = 5;
852,"""        },"""
853,{
854,"""            """"hr_value"""" = 97;"""
855,offset = 6;
856,"""        },"""
857,{
858,"""            """"hr_value"""" = 122;"""
859,offset = 5;
860,"""        },"""
861,{
862,"""            """"hr_value"""" = 129;"""
863,offset = 5;
864,"""        },"""
865,{
866,"""            """"hr_value"""" = 136;"""
867,offset = 6;
868,"""        },"""
869,{
870,"""            """"hr_value"""" = 148;"""
871,offset = 5;
872,"""        },"""
873,{
874,"""            """"hr_value"""" = 116;"""
875,offset = 5;
876,"""        },"""
877,{
878,"""            """"hr_value"""" = 128;"""
879,offset = 6;
880,"""        },"""
881,{
882,"""            """"hr_value"""" = 113;"""
883,offset = 5;
884,"""        },"""
885,{
886,"""            """"hr_value"""" = 148;"""
887,offset = 5;
888,"""        },"""
889,{
890,"""            """"hr_value"""" = 117;"""
891,offset = 6;
892,"""        },"""
893,{
894,"""            """"hr_value"""" = 129;"""
895,offset = 5;
896,"""        },"""
897,{
898,"""            """"hr_value"""" = 130;"""
899,offset = 6;
900,"""        },"""
901,{
902,"""            """"hr_value"""" = 117;"""
903,offset = 5;
904,"""        },"""
905,{
906,"""            """"hr_value"""" = 122;"""
907,offset = 5;
908,"""        },"""
909,{
910,"""            """"hr_value"""" = 122;"""
911,offset = 6;
912,"""        },"""
913,{
914,"""            """"hr_value"""" = 111;"""
915,offset = 5;
916,"""        },"""
917,{
918,"""            """"hr_value"""" = 121;"""
919,offset = 5;
920,"""        },"""
921,{
922,"""            """"hr_value"""" = 118;"""
923,offset = 6;
924,"""        },"""
925,{
926,"""            """"hr_value"""" = 127;"""
927,offset = 5;
928,"""        },"""
929,{
930,"""            """"hr_value"""" = 100;"""
931,offset = 6;
932,"""        },"""
933,{
934,"""            """"hr_value"""" = 122;"""
935,offset = 5;
936,"""        },"""
937,{
938,"""            """"hr_value"""" = 110;"""
939,offset = 5;
940,"""        },"""
941,{
